"# This file produced by program: ""detector_layout_save.pro""",,,,,,,,
title,Canberra 7 Ge array,,,,,,,
N,7,Number of detectors,,,,,,
Start,1,Start at this # (default: detector numbers start at 0),,,,,,
Shape,0,Shape of detectors (0=circular, 1=square),,,,,
Symmetry,4,Detector array symmetry steps for 360 degree (default is 4),,,,,,
Reorient,0,"Re-orient or rotate by ""reorient*360/symmetry"" degrees",,,,,,
MirrorX,0,Mirror the layout in X,,,,,,
MirrorY,0,Mirror the layout in Y,,,,,,
Veto,0,Veto channels with excessive FWHM,,,,,,
Threshold,300,FWHM threshold (eV),,,,,,
# Data:,"X, Y coords (mm)",, Z offset from planar (mm), Width (mm), Height (mm), Tilt (degrees)," bad (0=good,  1=poor,  2=dead)",
Data, X, Y, Z, width, height, tilt, bad, FWHM
1,-4.5,7.794,0,8,8,0,0,0
2,4.5,7.794,0,8,8,0,0,0
3,-9,0,0,8,8,0,0,0
4,0,0,0,8,8,0,0,0
5,9,0,0,8,8,0,0,0
6,-4.5,-7.794,0,8,8,0,1,0
7,4.5,-7.794,0,8,8,0,0,0
