# This file produced by program: "detector_layout_save.pro"
title,Maia 32 prototype Si array
N,      32,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       0,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      704.800,FWHM threshold (eV)
# Data: X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good, 1=poor, 2=dead), FWHM (eV)
Data, X, Y, Z, width, height, tilt, bad, FWHM
   8,  -3.500,   1.500,   0.000,   0.950,   0.950,   0.000,  0, 454.946
   7,  -2.500,   1.500,   0.000,   0.950,   0.950,   0.000,  0, 505.281
   6,  -1.500,   1.500,   0.000,   0.950,   0.950,   0.000,  0, 569.212
   5,  -0.500,   1.500,   0.000,   0.950,   0.950,   0.000,  0, 597.040
   3,   0.500,   1.500,   0.000,   0.950,   0.950,   0.000,  0, 643.134
   2,   1.500,   1.500,   0.000,   0.950,   0.950,   0.000,  0, 661.403
   1,   2.500,   1.500,   0.000,   0.950,   0.950,   0.000,  1, 729.414
   0,   3.500,   1.500,   0.000,   0.950,   0.950,   0.000,  0, 587.610
   4,  -3.500,   0.500,   0.000,   0.950,   0.950,   0.000,  0, 443.934
  15,  -2.500,   0.500,   0.000,   0.950,   0.950,   0.000,  0, 425.505
  14,  -1.500,   0.500,   0.000,   0.950,   0.950,   0.000,  0, 437.418
  13,  -0.500,   0.500,   0.000,   0.950,   0.950,   0.000,  0, 451.619
  12,   0.500,   0.500,   0.000,   0.950,   0.950,   0.000,  0, 438.350
  11,   1.500,   0.500,   0.000,   0.950,   0.950,   0.000,  2,   0.000
  10,   2.500,   0.500,   0.000,   0.950,   0.950,   0.000,  0, 439.279
   9,   3.500,   0.500,   0.000,   0.950,   0.950,   0.000,  0, 500.424
  16,  -3.500,  -0.500,   0.000,   0.950,   0.950,   0.000,  0, 453.485
  17,  -2.500,  -0.500,   0.000,   0.950,   0.950,   0.000,  0, 427.495
  18,  -1.500,  -0.500,   0.000,   0.950,   0.950,   0.000,  0, 431.134
  19,  -0.500,  -0.500,   0.000,   0.950,   0.950,   0.000,  0, 518.969
  20,   0.500,  -0.500,   0.000,   0.950,   0.950,   0.000,  0, 512.705
  21,   1.500,  -0.500,   0.000,   0.950,   0.950,   0.000,  0, 476.759
  22,   2.500,  -0.500,   0.000,   0.950,   0.950,   0.000,  0, 474.320
  23,   3.500,  -0.500,   0.000,   0.950,   0.950,   0.000,  0, 523.644
  24,  -3.500,  -1.500,   0.000,   0.950,   0.950,   0.000,  0, 419.994
  25,  -2.500,  -1.500,   0.000,   0.950,   0.950,   0.000,  0, 509.034
  26,  -1.500,  -1.500,   0.000,   0.950,   0.950,   0.000,  0, 576.813
  27,  -0.500,  -1.500,   0.000,   0.950,   0.950,   0.000,  0, 674.315
  28,   0.500,  -1.500,   0.000,   0.950,   0.950,   0.000,  1, 770.624
  29,   1.500,  -1.500,   0.000,   0.950,   0.950,   0.000,  0, 601.762
  30,   2.500,  -1.500,   0.000,   0.950,   0.950,   0.000,  0, 554.505
  31,   3.500,  -1.500,   0.000,   0.950,   0.950,   0.000,  0, 558.654
