# This file produced by program: "write_detector_layout.pro"
title,Maia 384 Si array
N,     384,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       0,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
 295,  -9.252,   9.252,   0.000,   0.548,   0.548,   0.000,  0,   0.000,    9,    3,   11,    0,    0
 294,  -8.277,   9.252,   0.000,   0.583,   0.548,   0.000,  0,   0.000,    9,    3,   10,    1,    0
 293,  -7.303,   9.252,   0.000,   0.619,   0.548,   0.000,  0,   0.000,    9,    3,   10,    2,    0
 292,  -6.328,   9.252,   0.000,   0.654,   0.548,   0.000,  0,   0.000,    9,    3,    9,    3,    0
 291,  -5.354,   9.252,   0.000,   0.689,   0.548,   0.000,  0,   0.000,    9,    3,    9,    4,    0
 290,  -4.379,   9.252,   0.000,   0.724,   0.548,   0.000,  0,   0.000,    9,    3,    8,    5,    0
 289,  -3.405,   9.252,   0.000,   0.759,   0.548,   0.000,  0,   0.000,    9,    3,    8,    6,    0
 288,  -2.430,   9.252,   0.000,   0.794,   0.548,   0.000,  0,   0.000,    9,    3,    8,    7,    0
  88,  -1.456,   9.252,   0.000,   0.829,   0.548,   0.000,  0,   0.000,    2,    0,    7,    8,    0
  80,  -0.481,   9.252,   0.000,   0.864,   0.548,   0.000,  0,   0.000,    2,    0,    7,    9,    0
  72,   0.481,   9.252,   0.000,   0.864,   0.548,   0.000,  0,   0.000,    2,    0,    7,   10,    0
  64,   1.456,   9.252,   0.000,   0.829,   0.548,   0.000,  0,   0.000,    2,    0,    7,   11,    0
  63,   2.430,   9.252,   0.000,   0.794,   0.548,   0.000,  0,   0.000,    1,    0,    8,   12,    0
  48,   3.405,   9.252,   0.000,   0.759,   0.548,   0.000,  0,   0.000,    1,    0,    8,   13,    0
  47,   4.379,   9.252,   0.000,   0.724,   0.548,   0.000,  0,   0.000,    1,    0,    8,   14,    0
  32,   5.354,   9.252,   0.000,   0.689,   0.548,   0.000,  0,   0.000,    1,    0,    9,   15,    0
  31,   6.328,   9.252,   0.000,   0.654,   0.548,   0.000,  0,   0.000,    0,    0,    9,   16,    0
  23,   7.303,   9.252,   0.000,   0.619,   0.548,   0.000,  0,   0.000,    0,    0,   10,   17,    0
  15,   8.277,   9.252,   0.000,   0.583,   0.548,   0.000,  0,   0.000,    0,    0,   10,   18,    0
   7,   9.252,   9.252,   0.000,   0.548,   0.548,   0.000,  0,   0.000,    0,    0,   11,   19,    0
 303,  -9.252,   8.277,   0.000,   0.548,   0.583,   0.000,  0,   0.000,    9,    3,   10,    0,    1
 302,  -8.277,   8.277,   0.000,   0.583,   0.583,   0.000,  0,   0.000,    9,    3,   10,    1,    1
 301,  -7.303,   8.277,   0.000,   0.619,   0.583,   0.000,  0,   0.000,    9,    3,    9,    2,    1
 300,  -6.328,   8.277,   0.000,   0.654,   0.583,   0.000,  0,   0.000,    9,    3,    8,    3,    1
 299,  -5.354,   8.277,   0.000,   0.689,   0.583,   0.000,  0,   0.000,    9,    3,    8,    4,    1
 298,  -4.379,   8.277,   0.000,   0.724,   0.583,   0.000,  0,   0.000,    9,    3,    7,    5,    1
 297,  -3.405,   8.277,   0.000,   0.759,   0.583,   0.000,  0,   0.000,    9,    3,    7,    6,    1
 296,  -2.430,   8.277,   0.000,   0.794,   0.583,   0.000,  0,   0.000,    9,    3,    7,    7,    1
  89,  -1.456,   8.277,   0.000,   0.829,   0.583,   0.000,  0,   0.000,    2,    0,    6,    8,    1
  81,  -0.481,   8.277,   0.000,   0.864,   0.583,   0.000,  0,   0.000,    2,    0,    6,    9,    1
  73,   0.481,   8.277,   0.000,   0.864,   0.583,   0.000,  0,   0.000,    2,    0,    6,   10,    1
  65,   1.456,   8.277,   0.000,   0.829,   0.583,   0.000,  0,   0.000,    2,    0,    6,   11,    1
  62,   2.430,   8.277,   0.000,   0.794,   0.583,   0.000,  0,   0.000,    1,    0,    7,   12,    1
  55,   3.405,   8.277,   0.000,   0.759,   0.583,   0.000,  0,   0.000,    1,    0,    7,   13,    1
  40,   4.379,   8.277,   0.000,   0.724,   0.583,   0.000,  0,   0.000,    1,    0,    7,   14,    1
  33,   5.354,   8.277,   0.000,   0.689,   0.583,   0.000,  0,   0.000,    1,    0,    8,   15,    1
  30,   6.328,   8.277,   0.000,   0.654,   0.583,   0.000,  0,   0.000,    0,    0,    8,   16,    1
  22,   7.303,   8.277,   0.000,   0.619,   0.583,   0.000,  0,   0.000,    0,    0,    9,   17,    1
  14,   8.277,   8.277,   0.000,   0.583,   0.583,   0.000,  0,   0.000,    0,    0,   10,   18,    1
   6,   9.252,   8.277,   0.000,   0.548,   0.583,   0.000,  0,   0.000,    0,    0,   10,   19,    1
 311,  -9.252,   7.303,   0.000,   0.548,   0.619,   0.000,  0,   0.000,    9,    3,   10,    0,    2
