"# This file produced by program: ""write_detector_layout.pro""",,,,,,, ,,,,,,
title,Maia 384 Si array,,,,,,,,,,,,
N,384,Number of detectors,,,,,,,,,,,
Start,0,Start at this # (default: detector numbers start at 0),,,,,,,,,,,
Shape,1,Shape of detectors (0=circular, 1=square),,,,,,,,,,
Symmetry,4,Detector array symmetry steps for 360 degree (default is 4),,,,,,,,,,,
Reorient,0,"Re-orient or rotate by ""reorient*360/symmetry"" degrees",,,,,,,,,,,
MirrorX,0,Mirror the layout in X,,,,,,,,,,,
MirrorY,0,Mirror the layout in Y,,,,,,,,,,,
Veto,0,Veto channels with excessive FWHM,,,,,,,,,,,
Threshold,250,FWHM threshold (eV),,,,,,,,,,,
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
298,-9.252,9.252,0,0.548,0.548,0,0,0,9,3,12,0,0
290,-8.277,9.252,0,0.583,0.548,0,0,0,9,3,11,1,0
297,-7.303,9.252,0,0.619,0.548,0,0,0,9,3,11,2,0
289,-6.328,9.252,0,0.654,0.548,0,0,0,9,3,10,3,0
296,-5.354,9.252,0,0.689,0.548,0,0,0,9,3,10,4,0
288,-4.379,9.252,0,0.724,0.548,0,0,0,9,3,9,5,0
295,-3.405,9.252,0,0.759,0.548,0,0,0,9,3,9,6,0
294,-2.43,9.252,0,0.794,0.548,0,0,0,9,3,9,7,0
85,-1.456,9.252,0,0.829,0.548,0,0,0,2,0,8,8,0
80,-0.481,9.252,0,0.864,0.548,0,0,0,2,0,8,9,0
67,0.481,9.252,0,0.864,0.548,0,0,0,2,0,8,10,0
70,1.456,9.252,0,0.829,0.548,0,0,0,2,0,8,11,0
57,2.43,9.252,0,0.794,0.548,0,0,0,1,0,9,12,0
48,3.405,9.252,0,0.759,0.548,0,0,0,1,0,9,13,0
47,4.379,9.252,0,0.724,0.548,0,0,0,1,0,9,14,0
38,5.354,9.252,0,0.689,0.548,0,0,0,1,0,10,15,0
25,6.328,9.252,0,0.654,0.548,0,0,0,0,0,10,16,0
28,7.303,9.252,0,0.619,0.548,0,0,0,0,0,11,17,0
15,8.277,9.252,0,0.583,0.548,0,0,0,0,0,11,18,0
10,9.252,9.252,0,0.548,0.548,0,0,0,0,0,12,19,0
303,-9.252,8.277,0,0.548,0.583,0,0,0,9,3,11,0,1
302,-8.277,8.277,0,0.583,0.583,0,0,0,9,3,11,1,1
301,-7.303,8.277,0,0.619,0.583,0,0,0,9,3,10,2,1
293,-6.328,8.277,0,0.654,0.583,0,0,0,9,3,9,3,1
300,-5.354,8.277,0,0.689,0.583,0,0,0,9,3,9,4,1
292,-4.379,8.277,0,0.724,0.583,0,0,0,9,3,8,5,1
299,-3.405,8.277,0,0.759,0.583,0,0,0,9,3,8,6,1
291,-2.43,8.277,0,0.794,0.583,0,0,0,9,3,8,7,1
93,-1.456,8.277,0,0.829,0.583,0,0,0,2,0,7,8,1
81,-0.481,8.277,0,0.864,0.583,0,0,0,2,0,7,9,1
75,0.481,8.277,0,0.864,0.583,0,0,0,2,0,7,10,1
71,1.456,8.277,0,0.829,0.583,0,0,0,2,0,7,11,1
56,2.43,8.277,0,0.794,0.583,0,0,0,1,0,8,12,1
60,3.405,8.277,0,0.759,0.583,0,0,0,1,0,8,13,1
35,4.379,8.277,0,0.724,0.583,0,0,0,1,0,8,14,1
39,5.354,8.277,0,0.689,0.583,0,0,0,1,0,9,15,1
24,6.328,8.277,0,0.654,0.583,0,0,0,0,0,9,16,1
20,7.303,8.277,0,0.619,0.583,0,0,0,0,0,10,17,1
14,8.277,8.277,0,0.583,0.583,0,0,0,0,0,11,18,1
2,9.252,8.277,0,0.548,0.583,0,0,0,0,0,11,19,1
316,-9.252,7.303,0,0.548,0.619,0,0,0,9,3,11,0,2
308,-8.277,7.303,0,0.583,0.619,0,0,0,9,3,10,1,2
315,-7.303,7.303,0,0.619,0.619,0,0,0,9,3,9,2,2
307,-6.328,7.303,0,0.654,0.619,0,0,0,9,3,9,3,2
314,-5.354,7.303,0,0.689,0.619,0,0,0,9,3,8,4,2
306,-4.379,7.303,0,0.724,0.619,0,0,0,9,3,8,5,2
305,-3.405,7.303,0,0.759,0.619,0,0,0,9,3,7,6,2
304,-2.43,7.303,0,0.794,0.619,0,0,0,9,3,7,7,2
86,-1.456,7.303,0,0.829,0.619,0,0,0,2,0,6,8,2
82,-0.481,7.303,0,0.864,0.619,0,0,0,2,0,6,9,2
68,0.481,7.303,0,0.864,0.619,0,0,0,2,0,6,10,2
64,1.456,7.303,0,0.829,0.619,0,0,0,2,0,6,11,2
63,2.43,7.303,0,0.794,0.619,0,0,0,1,0,7,12,2
52,3.405,7.303,0,0.759,0.619,0,0,0,1,0,7,13,2
43,4.379,7.303,0,0.724,0.619,0,0,0,1,0,8,14,2
32,5.354,7.303,0,0.689,0.619,0,0,0,1,0,8,15,2
31,6.328,7.303,0,0.654,0.619,0,0,0,0,0,9,16,2
27,7.303,7.303,0,0.619,0.619,0,0,0,0,0,9,17,2
13,8.277,7.303,0,0.583,0.619,0,0,0,0,0,10,18,2
9,9.252,7.303,0,0.548,0.619,0,0,0,0,0,11,19,2
313,-9.252,6.328,0,0.548,0.654,0,0,0,9,3,10,0,3
312,-8.277,6.328,0,0.583,0.654,0,0,0,9,3,9,1,3
