# This file produced by program: "write_detector_layout.pro"
title,Maia 96 prototype Si array
N,      96,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       3,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
   0,  -5.500,   3.500,   0.000,   0.915,   0.903,   0.000,  0,   0.000,    0,    0,    5,    0,    0
   8,  -4.500,   3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    0,    0,    4,    0,    1
  16,  -3.500,   3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    0,    0,    3,    0,    2
  24,  -2.500,   3.500,   0.000,   0.915,   0.917,   0.000,  0,   0.000,    0,    0,    2,    0,    3
  39,  -1.500,   3.500,   0.000,   0.915,   0.931,   0.000,  0,   0.000,    1,    0,    2,    0,    4
  46,  -0.500,   3.500,   0.000,   0.915,   0.938,   0.000,  0,   0.000,    1,    0,    2,    0,    5
  49,   0.500,   3.500,   0.000,   0.915,   0.938,   0.000,  0,   0.000,    1,    0,    2,    0,    6
  56,   1.500,   3.500,   0.000,   0.915,   0.931,   0.000,  0,   0.000,    1,    0,    2,    0,    7
  71,   2.500,   3.500,   0.000,   0.915,   0.917,   0.000,  0,   0.000,    2,    0,    2,    0,    8
  79,   3.500,   3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    2,    0,    3,    0,    9
  87,   4.500,   3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    2,    0,    4,    0,   10
  95,   5.500,   3.500,   0.000,   0.915,   0.903,   0.000,  0,   0.000,    2,    0,    5,    0,   11
   1,  -5.500,   2.500,   0.000,   0.920,   0.903,   0.000,  0,   0.000,    0,    0,    4,    1,    0
   9,  -4.500,   2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    0,    0,    3,    1,    1
  17,  -3.500,   2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    0,    0,    2,    1,    2
  25,  -2.500,   2.500,   0.000,   0.920,   0.917,   0.000,  0,   0.000,    0,    0,    2,    1,    3
  38,  -1.500,   2.500,   0.000,   0.920,   0.931,   0.000,  0,   0.000,    1,    0,    1,    1,    4
  45,  -0.500,   2.500,   0.000,   0.920,   0.938,   0.000,  0,   0.000,    1,    0,    1,    1,    5
  50,   0.500,   2.500,   0.000,   0.920,   0.938,   0.000,  0,   0.000,    1,    0,    1,    1,    6
  57,   1.500,   2.500,   0.000,   0.920,   0.931,   0.000,  0,   0.000,    1,    0,    1,    1,    7
  70,   2.500,   2.500,   0.000,   0.920,   0.917,   0.000,  0,   0.000,    2,    0,    2,    1,    8
  78,   3.500,   2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    2,    0,    2,    1,    9
  86,   4.500,   2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    2,    0,    3,    1,   10
  94,   5.500,   2.500,   0.000,   0.920,   0.903,   0.000,  0,   0.000,    2,    0,    4,    1,   11
   2,  -5.500,   1.500,   0.000,   0.930,   0.903,   0.000,  0,   0.000,    0,    0,    4,    2,    0
  10,  -4.500,   1.500,   0.000,   0.930,   0.910,   0.000,  0,   0.000,    0,    0,    3,    2,    1
  18,  -3.500,   1.500,   0.000,   0.930,   0.910,   0.000,  0,   0.000,    0,    0,    2,    2,    2
  26,  -2.500,   1.500,   0.000,   0.930,   0.917,   0.000,  0,   0.000,    0,    0,    1,    2,    3
  37,  -1.500,   1.500,   0.000,   0.930,   0.931,   0.000,  0,   0.000,    1,    0,    0,    2,    4
  44,  -0.500,   1.500,   0.000,   0.930,   0.938,   0.000,  0,   0.000,    1,    0,    0,    2,    5
  51,   0.500,   1.500,   0.000,   0.930,   0.938,   0.000,  0,   0.000,    1,    0,    0,    2,    6
  58,   1.500,   1.500,   0.000,   0.930,   0.931,   0.000,  0,   0.000,    1,    0,    0,    2,    7
  69,   2.500,   1.500,   0.000,   0.930,   0.917,   0.000,  0,   0.000,    2,    0,    1,    2,    8
  77,   3.500,   1.500,   0.000,   0.930,   0.910,   0.000,  0,   0.000,    2,    0,    2,    2,    9
  85,   4.500,   1.500,   0.000,   0.930,   0.910,   0.000,  0,   0.000,    2,    0,    3,    2,   10
  93,   5.500,   1.500,   0.000,   0.930,   0.903,   0.000,  0,   0.000,    2,    0,    4,    2,   11
   3,  -5.500,   0.500,   0.000,   0.940,   0.903,   0.000,  0,   0.000,    0,    0,    4,    3,    0
  11,  -4.500,   0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    0,    0,    3,    3,    1
  19,  -3.500,   0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    0,    0,    2,    3,    2
  27,  -2.500,   0.500,   0.000,   0.940,   0.917,   0.000,  0,   0.000,    0,    0,    1,    3,    3
  36,  -1.500,   0.500,   0.000,   0.940,   0.931,   0.000,  0,   0.000,    1,    0,    0,    3,    4
  43,  -0.500,   0.500,   0.000,   0.940,   0.938,   0.000,  0,   0.000,    1,    0,    0,    3,    5
  52,   0.500,   0.500,   0.000,   0.940,   0.938,   0.000,  0,   0.000,    1,    0,    0,    3,    6
  59,   1.500,   0.500,   0.000,   0.940,   0.931,   0.000,  0,   0.000,    1,    0,    0,    3,    7
  68,   2.500,   0.500,   0.000,   0.940,   0.917,   0.000,  0,   0.000,    2,    0,    1,    3,    8
  76,   3.500,   0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    2,    0,    2,    3,    9
  84,   4.500,   0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    2,    0,    3,    3,   10
  92,   5.500,   0.500,   0.000,   0.940,   0.903,   0.000,  0,   0.000,    2,    0,    4,    3,   11
   4,  -5.500,  -0.500,   0.000,   0.940,   0.903,   0.000,  0,   0.000,    0,    0,    4,    4,    0
  12,  -4.500,  -0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    0,    0,    3,    4,    1
  20,  -3.500,  -0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    0,    0,    2,    4,    2
  28,  -2.500,  -0.500,   0.000,   0.940,   0.917,   0.000,  0,   0.000,    0,    0,    1,    4,    3
  35,  -1.500,  -0.500,   0.000,   0.940,   0.931,   0.000,  0,   0.000,    1,    0,    0,    4,    4
  42,  -0.500,  -0.500,   0.000,   0.940,   0.938,   0.000,  0,   0.000,    1,    0,    0,    4,    5
