# This file produced by program: "write_detector_layout.pro"
title,Maia 96 prototype Si array
N,      96,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       1,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
  88,  -5.500,   3.500,   0.000,   0.915,   0.903,   0.000,  0,   0.000,    2,    0,    6,    0,    0
  80,  -4.500,   3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    2,    0,    5,    1,    0
  72,  -3.500,   3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    2,    0,    4,    2,    0
  64,  -2.500,   3.500,   0.000,   0.915,   0.917,   0.000,  0,   0.000,    2,    0,    3,    3,    0
  63,  -1.500,   3.500,   0.000,   0.915,   0.931,   0.000,  0,   0.000,    1,    0,    3,    4,    0
  48,  -0.500,   3.500,   0.000,   0.915,   0.938,   0.000,  0,   0.000,    1,    0,    3,    5,    0
  47,   0.500,   3.500,   0.000,   0.915,   0.938,   0.000,  0,   0.000,    1,    0,    3,    6,    0
  32,   1.500,   3.500,   0.000,   0.915,   0.931,   0.000,  0,   0.000,    1,    0,    3,    7,    0
  31,   2.500,   3.500,   0.000,   0.915,   0.917,   0.000,  0,   0.000,    0,    0,    3,    8,    0
  23,   3.500,   3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    0,    0,    4,    9,    0
  15,   4.500,   3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    0,    0,    5,   10,    0
   7,   5.500,   3.500,   0.000,   0.915,   0.903,   0.000,  0,   0.000,    0,    0,    6,   11,    0
  89,  -5.500,   2.500,   0.000,   0.920,   0.903,   0.000,  0,   0.000,    2,    0,    5,    0,    1
  81,  -4.500,   2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    2,    0,    4,    1,    1
