# This file produced by program: "detector_layout_save.pro"
title,Canberra 13 Ge array
N,      13,Number of detectors
Reorient,       0,Re-orient/rotate the detector by 90 degrees
Veto,       1,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# Data: X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good, 1=poor, 2=dead), FWHM (eV)
Data, X, Y, Z, width, height, tilt, bad, FWHM
   0, -10.500,   7.000,   0.000,   6.000,   6.000,   0.000,  2,   0.000
   1,  -3.500,   7.000,   0.000,   6.000,   6.000,   0.000,  0,   0.000
   2,   3.500,   7.000,   0.000,   6.000,   6.000,   0.000,  2,   0.000
   3,  10.500,   7.000,   0.000,   6.000,   6.000,   0.000,  2,   0.000
   4, -14.000,   0.000,   0.000,   6.000,   6.000,   0.000,  0,   0.000
   5,  -7.000,   0.000,   0.000,   6.000,   6.000,   0.000,  0,   0.000
   6,   0.000,   0.000,   0.000,   6.000,   6.000,   0.000,  0,   0.000
   7,   7.000,   0.000,   0.000,   6.000,   6.000,   0.000,  0,   0.000
   8,  14.000,   0.000,   0.000,   6.000,   6.000,   0.000,  2,   0.000
   9, -10.500,  -7.000,   0.000,   6.000,   6.000,   0.000,  2,   0.000
  10,  -3.500,  -7.000,   0.000,   6.000,   6.000,   0.000,  2,   0.000
  11,   3.500,  -7.000,   0.000,   6.000,   6.000,   0.000,  0,   0.000
  12,  10.500,  -7.000,   0.000,   6.000,   6.000,   0.000,  2,   0.000
