   1368
    0.2770, C , Ka_   ,    1.0000
    0.3030, Ca, Ll    ,    0.0089
    0.3060, Ca, Leta  ,    0.0089
    0.3410, Ca, La_   ,    0.8929
    0.3450, Ca, Lb1   ,    0.0893
    0.3480, Sc, Ll    ,    0.0089
    0.3530, Sc, Leta  ,    0.0089
    0.3920, N , Ka_   ,    1.0000
    0.3950, Ti, Ll    ,    0.0089
    0.3950, Sc, La_   ,    0.8929
    0.4000, Sc, Lb1   ,    0.0893
    0.4010, Ti, Leta  ,    0.0089
    0.4460, V , Ll    ,    0.0089
    0.4520, Ti, La_   ,    0.8929
    0.4530, V , Leta  ,    0.0089
    0.4580, Ti, Lb1   ,    0.0893
    0.5000, Cr, Ll    ,    0.0082
    0.5100, Cr, Leta  ,    0.0082
    0.5110, V , La_   ,    0.8921
    0.5190, V , Lb1   ,    0.0892
    0.5250, O , Ka_   ,    1.0000
    0.5560, Mn, Ll    ,    0.0076
    0.5670, Mn, Leta  ,    0.0076
    0.5730, Cr, La_   ,    0.8190
    0.5830, Cr, Lb1   ,    0.1638
    0.5850, V , Lb3   ,    0.0009
    0.6150, Fe, Ll    ,    0.0613
    0.6280, Fe, Leta  ,    0.0153
    0.6370, Mn, La_   ,    0.7570
    0.6490, Mn, Lb1   ,    0.2271
    0.6540, Cr, Lb3   ,    0.0008
    0.6780, Co, Ll    ,    0.0695
    0.6782, F , Ka_   ,    1.0000
    0.6940, Co, Leta  ,    0.0154
    0.7050, Fe, La_   ,    0.7663
    0.7180, Fe, Lb1   ,    0.1533
    0.7210, Mn, Lb3   ,    0.0008
    0.7430, Ni, Ll    ,    0.0523
    0.7620, Ni, Leta  ,    0.0212
    0.7760, Co, La_   ,    0.7722
    0.7910, Co, Lb1   ,    0.1390
    0.7920, Fe, Lb3   ,    0.0038
    0.8110, Cu, Ll    ,    0.0456
    0.8320, Cu, Leta  ,    0.0201
    0.8480, Ne, Ka_   ,    1.0000
    0.8510, Ni, La_   ,    0.6156
    0.8660, Co, Lb3   ,    0.0039
    0.8690, Ni, Lb1   ,    0.2790
    0.8840, Zn, Ll    ,    0.0414
    0.9060, Zn, Leta  ,    0.0189
    0.9300, Cu, La_   ,    0.6222
    0.9410, Ni, Lb3   ,    0.0319
    0.9500, Cu, Lb1   ,    0.2790
    0.9570, Ga, Ll    ,    0.0395
    0.9840, Ga, Leta  ,    0.0178
    1.0120, Zn, La_   ,    0.6278
    1.0230, Cu, Lb3   ,    0.0331
    1.0340, Zn, Lb1   ,    0.2786
    1.0360, Ge, Ll    ,    0.0375
    1.0410, Na, Ka_   ,    0.9667
    1.0680, Ge, Leta  ,    0.0167
    1.0710, Na, Kb_   ,    0.0333
    1.0980, Ga, La_   ,    0.6371
    1.1070, Zn, Lb3   ,    0.0332
    1.1200, As, Ll    ,    0.0355
    1.1250, Ga, Lb1   ,    0.2720
    1.1550, As, Leta  ,    0.0161
    1.1820, Mg, K-LL  ,    0.0254
    1.1880, Ge, La_   ,    0.6467
    1.1970, Ga, Lb3   ,    0.0335
    1.2040, Se, Ll    ,    0.0335
    1.2180, Ge, Lb1   ,    0.2653
    1.2440, Se, Leta  ,    0.0155
    1.2530, Mg, Ka_   ,    0.9872
    1.2820, As, La_   ,    0.6463
    1.2860, Ge, Lb4   ,    0.0138
    1.2930, Br, Ll    ,    0.0322
    1.2940, Ge, Lb3   ,    0.0200
    1.3020, Mg, Kb_   ,    0.0128
    1.3170, As, Lb1   ,    0.2664
    1.3310, Ta, Mz_   ,    0.0007
    1.3390, Br, Leta  ,    0.0149
    1.3790, Se, La_   ,    0.6461
    1.3810, W , Mz_   ,    0.0000
    1.3880, As, Lb3   ,    0.0357
    1.3890, Al, K-LL  ,    0.0142
    1.4190, Se, Lb1   ,    0.2675
    1.4340, Re, Mz_   ,    0.0001
    1.4800, Br, La_   ,    0.6470
    1.4820, Rb, Ll    ,    0.0297
    1.4860, Al, Ka_   ,    0.9868
    1.4880, Os, Mz_   ,    0.0001
    1.4900, Se, Lb3   ,    0.0375
    1.5260, Br, Lb1   ,    0.2677
    1.5410, Ir, Mz_   ,    0.0000
    1.5420, Rb, Leta  ,    0.0138
    1.5570, Al, Kb_   ,    0.0132
    1.5591, Al, K-MM  ,    0.0019
    1.5820, Sr, Ll    ,    0.0285
    1.5860, Kr, La_   ,    0.6778
    1.5960, Br, Lb3   ,    0.0382
    1.5980, Pt, Mz_   ,    0.0116
    1.6070, Si, K-LL  ,    0.0120
    1.6360, Kr, Lb1   ,    0.2802
    1.6490, Sr, Leta  ,    0.0131
    1.6510, Kr, Lb6   ,    0.0035
    1.6560, Au, Mz_   ,    0.0116
    1.6850, Y , Ll    ,    0.0282
    1.6940, Rb, La_   ,    0.6465
    1.6970, Kr, Lb4   ,    0.0134
    1.7030, Kr, Lg5   ,    0.0013
    1.7060, Kr, Lb3   ,    0.0239
    1.7090, Ta, Ma1   ,    0.6812
    1.7397, Si, Ka_   ,    0.9734
    1.7520, Rb, Lb1   ,    0.2674
    1.7610, Y , Leta  ,    0.0125
    1.7650, Ta, Mb_   ,    0.3065
    1.7720, Tl, Mz_   ,    0.0113
    1.7730, W , Ma2   ,    0.4055
    1.7750, Rb, Lb6   ,    0.0036
    1.7750, W , Ma1   ,    0.4055
    1.7920, Zr, Ll    ,    0.0273
    1.8040, Hg, Mz_   ,    0.0001
    1.8060, Sr, La_   ,    0.6439
    1.8170, Rb, Lb4   ,    0.0131
    1.8260, Rb, Lb3   ,    0.0232
    1.8280, Pb, Mz_   ,    0.0004
    1.8350, Rb, Lg5   ,    0.0013
    1.8350, W , Mb_   ,    0.1825
    1.8360, Si, Kb_   ,    0.0266
    1.8382, Si, K-MM  ,    0.0036
    1.8420, Re, Ma1   ,    0.6848
    1.8450, P , K-LL  ,    0.0101
    1.8710, Sr, Lb1   ,    0.2664
    1.8760, Zr, Leta  ,    0.0116
    1.8990, Bi, Mz_   ,    0.0004
    1.9010, Sr, Lb6   ,    0.0038
    1.9020, Nb, Ll    ,    0.0265
    1.9060, Re, Mb_   ,    0.3082
    1.9140, Os, Ma1   ,    0.6816
    1.9218, Y , La_   ,    0.6464
    1.9360, Sr, Lb4   ,    0.0133
    1.9470, Sr, Lb3   ,    0.0235
    1.9640, Ta, Mg_   ,    0.0068
    1.9690, Sr, Lg5   ,    0.0014
    1.9750, Ir, Ma2   ,    0.4045
    1.9780, Os, Mb_   ,    0.3067
    1.9800, Ir, Ma1   ,    0.4045
    1.9950, Y , Lb1   ,    0.2614
    1.9960, Nb, Leta  ,    0.0105
    2.0127, P , Ka_   ,    0.9588
    2.0150, Mo, Ll    ,    0.0258
    2.0340, Y , Lb6   ,    0.0041
    2.0350, W , Mg_   ,    0.0041
    2.0418, Zr, La_   ,    0.6435
    2.0460, Pt, Ma2   ,    0.3876
    2.0500, Pt, Ma1   ,    0.3876
    2.0500, Rb, Lg2   ,    0.0015
    2.0530, Ir, Mb_   ,    0.1820
    2.0600, Y , Lb4   ,    0.0143
    2.0720, Y , Lb3   ,    0.0251
    2.0900, Re, M-NO  ,    0.0001
    2.1060, Re, Mg_   ,    0.0068
    2.1060, S , K-LL  ,    0.0083
    2.1100, Y , Lg5   ,    0.0014
    2.1180, Au, Ma2   ,    0.3861
    2.1200, Mo, Leta  ,    0.0094
    2.1230, Au, Ma1   ,    0.3861
    2.1240, Zr, Lb1   ,    0.2515
    2.1270, Pt, Mb_   ,    0.1938
    2.1390, P , Kb_   ,    0.0412
    2.1442, P , K-MM  ,    0.0052
    2.1657, Nb, La_   ,    0.6405
    2.1710, Zr, Lb6   ,    0.0041
    2.1820, Os, Mg_   ,    0.0068
    2.1870, Zr, Lb4   ,    0.0150
    2.1950, Hg, Ma1   ,    0.6536
    2.1960, Sr, Lg2   ,    0.0061
    2.1990, Pb, M3N1  ,    0.0300
    2.2010, Zr, Lb3   ,    0.0261
    2.2040, Au, Mb_   ,    0.1931
    2.2190, Zr, Lb2   ,    0.0041
    2.2520, Ru, Ll    ,    0.0240
    2.2540, Ir, Mg_   ,    0.0040
    2.2550, Zr, Lg5   ,    0.0013
    2.2570, Nb, Lb1   ,    0.2354
    2.2650, Tl, Ma2   ,    0.3781
    2.2700, Tl, Ma1   ,    0.3781
    2.2760, Ta, M-NO  ,    0.0048
    2.2820, Hg, Mb_   ,    0.3268
    2.2926, Mo, La_   ,    0.6377
    2.3020, Zr, Lg1   ,    0.0083
    2.3067, S , Ka_   ,    0.9443
    2.3120, Nb, Lb6   ,    0.0041
    2.3190, Nb, Lb4   ,    0.0182
    2.3310, Pt, Mg_   ,    0.0116
    2.3340, Nb, Lb3   ,    0.0282
    2.3380, Th, Mz_   ,    0.0004
    2.3390, Pb, Ma2   ,    0.3675
    2.3450, Pb, Ma1   ,    0.3675
    2.3460, Y , Lg2   ,    0.0067
    2.3620, Tl, Mb_   ,    0.2079
    2.3670, Nb, Lb2   ,    0.0171
    2.3760, Rh, Ll    ,    0.0232
    2.3820, Ru, Leta  ,    0.0086
    2.3820, Cl, K-LL  ,    0.0067
    2.3890, W , M-NO  ,    0.0024
    2.3940, Mo, Lb1   ,    0.2194
    2.4040, Au, Mg_   ,    0.0154
    2.4060, Nb, Lg5   ,    0.0013
    2.4160, Bi, Ma2   ,    0.3609
    2.4220, Bi, Ma1   ,    0.3609
    2.4240, Tc, La_   ,    0.6897
    2.4420, Pb, Mb_   ,    0.2205
    2.4550, Mo, Lb6   ,    0.0042
    2.4550, Mo, Lb4   ,    0.0214
    2.4610, Nb, Lg1   ,    0.0102
    2.4680, S , Kb_   ,    0.0557
    2.4708, S , K-MM  ,    0.0064
    2.4730, Mo, Lb3   ,    0.0303
    2.4800, U , Mz_   ,    0.0614
    2.4870, Hg, Mg_   ,    0.0196
    2.5020, Zr, Lg2   ,    0.0071
    2.5030, Pd, Ll    ,    0.0225
    2.5180, Mo, Lb2   ,    0.0300
    2.5190, Rh, Leta  ,    0.0083
    2.5250, Bi, Mb_   ,    0.2165
    2.5360, Tc, Lb1   ,    0.3103
    2.5576, Ru, La_   ,    0.6166
    2.5630, Os, M-NO  ,    0.0048
    2.5630, Mo, Lg5   ,    0.0012
    2.5650, Tl, Mg_   ,    0.0151
    2.6080, Ir, M-NO  ,    0.0049
    2.6213, Cl, Ka_   ,    0.9311
    2.6230, Mo, Lg1   ,    0.0121
    2.6330, Ag, Ll    ,    0.0216
    2.6540, Pb, Mg_   ,    0.0220
    2.6600, Pd, Leta  ,    0.0080
    2.6630, Nb, Lg2   ,    0.0079
